iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
1,50, 1.304870, 1.304940, 1.292789 ,0.003000, 0.073506
2,50, 1.209867, 1.209914, 1.561298 ,0.002997, 0.146502
3,50, 1.125933, 1.125949, 1.361949 ,0.002994, 0.221386
4,50, 1.068700, 1.068700, 0.652155 ,0.002991, 0.295131
5,50, 1.039913, 1.039914, 0.442618 ,0.002988, 0.369503
6,50, 1.024799, 1.024824, 0.555721 ,0.002985, 0.444972
7,50, 1.014538, 1.014557, 0.545502 ,0.002982, 0.518301
8,50, 1.006742, 1.006729, 0.492709 ,0.002979, 0.591185
9,50, 1.001367, 1.001355, 0.378880 ,0.002976, 0.665386
10,50, 0.998298, 0.998349, 0.213585 ,0.002973, 0.738629
11,50, 0.996888, 0.996962, 0.183594 ,0.002970, 0.811079
12,50, 0.996311, 0.996391, 0.240176 ,0.002967, 0.884307
13,50, 0.996097, 0.996171, 0.239605 ,0.002964, 0.956793
14,50, 0.995934, 0.995997, 0.279939 ,0.002961, 1.029814
15,50, 0.995867, 0.995901, 0.212919 ,0.002958, 1.102438
16,50, 0.995932, 0.995946, 0.166098 ,0.002955, 1.175088
17,50, 0.995760, 0.995781, 0.611562 ,0.002952, 1.247461
18,50, 0.996592, 0.996631, 0.389047 ,0.002949, 1.321993
19,50, 0.996165, 0.996208, 0.255949 ,0.002946, 1.394151
20,50, 0.995359, 0.995408, 0.192838 ,0.002944, 1.467749
21,50, 0.994611, 0.994667, 0.144967 ,0.002941, 1.540313
22,50, 0.994379, 0.994442, 0.149435 ,0.002938, 1.613477
23,50, 0.993879, 0.993950, 0.432894 ,0.002935, 1.686260
24,50, 0.993513, 0.993594, 0.443427 ,0.002932, 1.759255
25,50, 0.993474, 0.993542, 0.112845 ,0.002929, 1.833680
26,50, 0.993509, 0.993571, 0.269462 ,0.002926, 1.907037
27,50, 0.993600, 0.993644, 0.228872 ,0.002923, 1.981441
28,50, 0.993610, 0.993637, 0.355199 ,0.002920, 2.057988
29,50, 0.993797, 0.993841, 0.291577 ,0.002917, 2.130995
30,50, 0.993237, 0.993320, 0.326473 ,0.002914, 2.205595
31,50, 0.993305, 0.993419, 0.195551 ,0.002911, 2.279397
32,50, 0.993149, 0.993285, 0.187504 ,0.002908, 2.353409
33,50, 0.992842, 0.992972, 0.199148 ,0.002905, 2.427643
34,50, 0.992551, 0.992669, 0.323113 ,0.002903, 2.501038
35,50, 0.992664, 0.992782, 0.183209 ,0.002900, 2.573797
36,50, 0.992328, 0.992465, 0.248667 ,0.002897, 2.646148
37,50, 0.992414, 0.992558, 0.272351 ,0.002894, 2.720423
38,50, 0.992218, 0.992369, 0.587175 ,0.002891, 2.794197
39,50, 0.992132, 0.992269, 0.423274 ,0.002888, 2.869009
40,50, 0.991807, 0.991972, 0.531385 ,0.002885, 2.942105
41,50, 0.992418, 0.992600, 0.218505 ,0.002882, 3.014698
42,50, 0.992348, 0.992540, 0.287259 ,0.002879, 3.087740
43,50, 0.992140, 0.992333, 0.484127 ,0.002877, 3.159341
44,50, 0.991746, 0.991930, 0.355838 ,0.002874, 3.233087
45,50, 0.991693, 0.991855, 0.172912 ,0.002871, 3.307120
46,50, 0.991636, 0.991790, 0.256208 ,0.002868, 3.379512
47,50, 0.991910, 0.992055, 0.218568 ,0.002865, 3.452678
48,50, 0.991965, 0.992122, 0.215044 ,0.002862, 3.525489
49,50, 0.991922, 0.992075, 0.248589 ,0.002859, 3.597905
50,50, 0.991707, 0.991865, 0.284105 ,0.002856, 3.671725
