PC1,IM,GM
-1.005,-0.97,Bajo
-1.902,-1.27,Muy bajo
-1.257,-0.8,Bajo
-0.159,0.7,Alto
-1.641,-1.2,Muy bajo
-0.633,-0.69,Bajo
2.997,2.25,Muy alto
-1.594,-0.78,Bajo
-2.519,-1.53,Muy bajo
-0.209,-0.11,Medio
0.677,0.08,Alto
2.604,2.12,Muy alto
1.465,0.88,Muy alto
-1.029,-0.76,Bajo
-1.086,-0.6,Bajo
1.272,0.45,Alto
-0.18,-0.36,Medio
0.505,0.06,Alto
-2.055,-1.39,Muy bajo
2.911,2.08,Muy alto
1.466,0.72,Alto
0.063,-0.11,Medio
-0.689,-0.36,Medio
-0.147,0.72,Alto
0.434,-0.1,Medio
-0.937,-0.76,Bajo
1.031,0.66,Alto
-1.269,-0.69,Bajo
0.498,-0.18,Medio
0.622,1.28,Muy alto
0.109,0.38,Alto
1.655,0.3,Alto
