CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,LUGAR,A.O
1,Aguascalientes,944285,4.84,23.03,3.29,1.78,1.3,37.82,3.57,24.54,42.23,-0.97,Bajo,28,2000
2,Baja California,2487367,3.53,19.59,0.39,2.33,6.83,36.58,4.59,11.62,22.22,-1.27,Muy bajo,30,2000
3,Baja California Sur,424041,4.21,20.98,2.42,4.62,6.32,38.8,10.42,25.41,35.82,-0.8,Bajo,27,2000
4,Campeche,690689,11.81,34.22,5.06,8.79,14.61,56.63,14.92,34.51,64.12,0.7,Alto,8,2000
5,Coahuila de Zaragoza,2298070,3.87,18.79,1.65,1.42,2.18,37.74,4.55,13.37,34.68,-1.2,Muy bajo,29,2000
6,Colima,542627,7.16,27.2,3.53,1.96,2.18,40.9,12.53,18.2,48,-0.69,Bajo,22,2000
7,Chiapas,3920892,22.94,50.31,26.44,12.01,24.99,65.03,40.9,61.21,75.89,2.25,Muy alto,1,2000
8,Chihuahua,3052907,4.79,23.3,4.89,6.27,5.88,36.53,6.96,19.64,37.67,-0.78,Bajo,26,2000
9,Distrito Federal,8605239,2.91,12.16,0.86,0.17,1.47,34.82,1.34,0.32,42.43,-1.53,Muy bajo,32,2000
10,Durango,1448661,5.41,28.75,5.85,6.57,7,40.3,13.73,42.12,50.12,-0.11,Medio,17,2000
11,Guanajuato,4663032,11.99,35.75,11.97,3.19,6.86,47.1,10.93,37.39,47.29,0.08,Alto,13,2000
12,Guerrero,3079649,21.57,41.92,42.78,11.04,29.54,59.67,39.97,53.44,66.16,2.12,Muy alto,2,2000
13,Hidalgo,2235591,14.92,34.09,24.8,7.66,15.25,49.69,19.02,58.52,65.27,0.88,Muy alto,5,2000
14,Jalisco,6322002,6.45,26.71,0.8,2.14,6.78,38.46,7.36,19.4,40.93,-0.76,Bajo,25,2000
15,México,13096686,6.4,20.84,3.1,1.8,6.23,47.65,7.19,19.38,49.41,-0.6,Bajo,21,2000
16,Michoacán de Ocampo,3985667,13.9,40.19,12.84,4.41,10.87,46.04,19.9,43.09,57.29,0.45,Alto,10,2000
17,Morelos,1555296,9.25,25.76,9.85,1.4,7.3,44.26,14.8,23.93,54.28,-0.36,Medio,19,2000
18,Nayarit,920185,9.05,31.97,13.66,4.75,9.53,44.14,13.25,43.68,56.25,0.06,Alto,14,2000
19,Nuevo León,3834141,3.32,16.49,0.54,1.04,3.62,36.97,3.3,7.57,28.93,-1.39,Muy bajo,31,2000
20,Oaxaca,3438765,21.49,45.53,35.49,12.54,26.95,59.45,41.6,64.01,71.93,2.08,Muy alto,3,2000
21,Puebla,5076686,14.61,35.2,25.3,4.75,16.26,54.73,24.09,41.49,63.9,0.72,Alto,7,2000
22,Querétaro,1404306,9.8,26.14,16.17,5.76,6.58,43.74,10.06,42.14,41.72,-0.11,Medio,16,2000
23,Quintana Roo,874963,7.52,25.18,6.78,4.36,5.34,53.01,11.37,21.19,40.37,-0.36,Medio,20,2000
24,San Luis Potosí,2299360,11.29,34.1,4.01,11.54,20.92,43.85,23.7,44.64,58.82,0.72,Alto,6,2000
25,Sinaloa,2536844,7.96,30.06,10.81,3.35,7.22,47.52,14.53,39.17,48.63,-0.1,Medio,15,2000
26,Sonora,2216969,4.4,22.4,3.9,3.23,3.47,42.18,13.18,21.25,40.95,-0.76,Bajo,24,2000
27,Tabasco,1891829,9.73,32.27,24.48,5.85,26.49,54.52,13.47,56.1,62.29,0.66,Alto,9,2000
28,Tamaulipas,2753222,5.13,23.35,8.37,4.97,5.01,42.36,8.95,16.89,46.72,-0.69,Bajo,23,2000
29,Tlaxcala,962646,7.8,23.42,23.59,2.05,2.48,54.61,8.98,36.88,63.38,-0.18,Medio,18,2000
30,Veracruz de Ignacio de la Llave,6908975,14.87,39.17,6.84,11.11,29.47,51.5,29.29,48.5,68.64,1.28,Muy alto,4,2000
31,Yucatán,1658210,12.3,36.94,6.84,4.12,5.69,52.52,5.62,28.82,67.57,0.38,Alto,11,2000
32,Zacatecas,1353610,7.97,37.5,34.89,4.03,11.05,42.68,9.12,55.13,58.91,0.3,Alto,12,2000
